player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Death Pickle		447	130	4	167	98	49	45	269	1	1857	149	28	323	13	2	20	15	23	1	6	0	45	31	1	3945	
aardvark	CCB	1154	280	31	445	247	153	140	1133	8	3655	381	82	647	27	11	76	59	62	4	23	2	137	114	5	9048	
BALLDON'TLIE	AC	958	276	31	220	505	474	418	3195	53	633	168	61	647	105	15	182	141	186	24	47	2	40	37	1	9048	
aitethen		343	70	15	109	74	55	50	402	5	777	88	30	162	17	5	22	15	18	3	8	0	34	30	0	2047	
MiIky		1011	279	31	202	563	533	478	3948	53	377	154	86	647	135	40	221	148	175	21	44	5	37	27	2	9048	
Crippy		384	70	24	116	60	45	40	326	5	1300	102	30	162	8	4	22	16	13	2	3	0	48	49	1	1613	
Daffodil		1282	280	77	443	306	251	215	1742	33	3090	369	77	648	54	12	108	70	86	9	18	4	138	126	9	7549	
sun chips		1142	280	77	277	502	463	406	3711	51	722	179	111	648	100	39	178	124	164	27	39	3	59	50	6	7549	
papi.		5	3	-2	1	5	5	5	40	0	0	1	0	27	1	1	0	0	1	0	0	0	0	0	0	276	
DudeMcGuy		594	130	23	240	119	73	63	447	9	1503	201	37	288	23	3	35	19	28	5	9	1	70	71	0	4372	
Spjork		841	241	-12	182	423	414	371	2825	34	421	131	69	576	108	26	171	120	153	19	24	1	32	26	1	7689	
yank		1254	280	-1	484	245	149	136	939	10	3950	398	100	648	39	7	67	44	42	5	15	1	156	145	3	8428	
bad		896	214	-16	337	181	101	95	775	4	3096	306	77	522	24	7	54	42	37	1	12	2	120	111	1	6747	
bright		927	280	-1	250	507	459	431	3799	24	600	182	95	648	100	46	182	132	162	7	46	5	33	28	2	8428	
dodsfall		1146	280	40	401	261	179	163	1176	16	3697	340	80	648	45	7	77	57	75	10	13	0	133	125	2	8278	
sIide	FBD	927	196	20	386	171	91	85	514	6	3006	337	82	459	32	3	41	33	30	3	11	0	125	113	3	6059	
Hulzy		1080	280	40	187	497	493	436	4066	51	616	128	87	648	122	44	183	122	192	17	46	11	29	26	5	8278	
DT		45	20	-2	9	36	31	29	195	1	39	9	2	54	6	0	15	11	13	0	4	0	2	2	0	578	
thenewguy.		902	243	42	247	459	427	387	2771	36	592	179	79	594	113	25	173	124	132	18	47	3	41	41	2	7700	
Turbo		1041	280	-24	471	233	105	101	517	4	3959	419	70	648	38	1	43	34	26	0	22	0	170	147	3	8280	
Fatal		850	280	-24	206	513	468	424	2841	39	632	142	77	648	149	18	173	121	117	12	43	6	43	36	3	8280	
danisk		440	180	-32	143	336	290	275	1955	12	251	119	33	423	82	20	113	61	99	7	37	1	22	16	3	5667	
Sneak		83	40	-11	16	78	69	69	487	0	52	13	10	90	19	4	21	17	24	0	7	0	4	4	0	978	
AlisonBrie		1091	280	-24	469	286	181	173	1120	6	3731	412	76	648	46	8	67	47	70	2	13	0	162	158	3	8280	
CB13	VIL	1085	280	-39	377	378	322	296	2401	23	1956	322	66	648	86	24	139	104	107	9	30	3	93	89	2	8860	
Jake from SF		819	240	-29	195	418	370	335	2466	31	501	132	77	558	112	19	130	99	132	10	43	7	35	30	4	6988	
C Bivvey		1122	270	-31	389	281	190	171	1054	14	3721	342	77	621	52	7	84	55	65	7	24	2	132	112	0	8411	
WowSuchPro		55	20	-3	14	41	37	35	161	1	28	11	4	45	17	0	13	9	10	0	2	0	2	1	0	670	
Arbybear		990	280	-76	395	357	214	203	1092	8	3473	352	57	648	86	3	72	54	69	5	19	1	136	118	2	9288	
okthen		178	40	15	25	56	63	52	609	10	63	23	10	90	9	8	26	24	35	7	5	0	4	3	0	1017	
Syniikal		982	240	-69	407	50	11	11	123	0	3118	360	59	558	1	2	7	5	7	0	1	0	112	97	5	8013	
Gem		140	40	-15	47	32	20	19	147	1	248	37	21	90	8	2	11	8	8	0	2	0	11	10	0	1553	
ProTagonist_		87	40	-15	18	69	65	60	465	4	35	17	4	90	16	4	29	17	23	0	4	0	2	1	0	1553	
Mr. Hat		720	200	-35	196	365	335	310	2925	22	396	133	77	450	85	39	130	97	95	12	32	0	40	34	2	6498	
JBB		1167	280	-26	423	295	189	170	1228	17	2792	339	102	648	55	6	75	52	71	7	16	2	117	112	3	9470	
Ty	LBT	795	270	-23	243	457	390	357	2435	26	744	180	81	621	95	12	158	124	137	12	30	2	53	49	2	9186	
/r/tropel		0	0	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	284	
toasty.		1072	260	78	197	469	488	414	3869	69	504	152	75	594	110	37	170	119	172	36	51	5	34	28	1	6964	
eee		1072	270	55	389	256	171	153	1091	15	3492	323	80	620	41	6	72	50	61	4	9	1	123	112	5	8397	
Dor		1010	270	55	223	509	484	434	3346	47	524	161	91	620	118	25	196	132	183	27	48	4	33	24	4	8397	
Bal McCartny		1279	280	74	525	240	145	129	836	16	4548	464	86	648	45	6	64	47	60	9	16	0	211	209	1	7471	
siDe		1155	280	74	451	252	134	123	662	11	4391	382	69	648	43	0	52	39	46	5	14	2	159	146	2	7471	
